fucs_list_programa_interes349;PREGRADO EN ADMINISTRACIÓN DE SERVICIOS DE SALUD
fucs_list_programa_interes2;PREGRADO EN ENFERMERÍA
fucs_list_programa_interes391;PREGRADO EN FISIOTERAPIA
fucs_list_programa_interes4;PREGRADO EN INSTRUMENTACIÓN QUIRÚRGICA
fucs_list_programa_interes1;PREGRADO EN MEDICINA
fucs_list_programa_interes473;PREGRADO EN NUTRICIÓN Y DIETÉTICA
fucs_list_programa_interes3;PREGRADO EN PSICOLOGÍA
fucs_list_programa_interes347;TÉCNICO PROFESIONAL EN PROCESOS ADMINISTRATIVOS EN SALUD
fucs_list_programa_interes7;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA
fucs_list_programa_interes6;TECNOLOGÍA EN CITOHISTOLOGÍA
fucs_list_programa_interes480;TECNOLOGÍA EN RADIOLOGÍA E IMÁGENES DIAGNOSTICAS
fucs_list_programa_interes497;TECNOLOGÍA EN REGENCIA DE FARMACIA
fucs_list_programa_interes348;TECNÓLOGO EN GESTIÓN DE INFORMACIÓN EN SALUD
fucs_list_programa_interes67;ESPECIALIZACIÓN EN ANESTESIOLOGÍA CARDIOVASCULAR
fucs_list_programa_interes66;ESPECIALIZACIÓN EN ANESTESIOLOGÍA Y REANIMACIÓN
fucs_list_programa_interes65;ESPECIALIZACIÓN EN ARTROSCOPIA Y CIRUGÍA DE RODILLA
fucs_list_programa_interes64;ESPECIALIZACIÓN EN CARDIOLOGÍA
fucs_list_programa_interes488;ESPECIALIZACIÓN EN CARDIOLOGÍA INTERVENCIONISTA Y HEMODINAMIA PEDIÁTRICA
fucs_list_programa_interes63;ESPECIALIZACIÓN EN CIRUGÍA CARDIOVASCULAR
fucs_list_programa_interes62;ESPECIALIZACIÓN EN CIRUGÍA CRANEOFACIAL
fucs_list_programa_interes61;ESPECIALIZACIÓN EN CIRUGÍA DE CABEZA Y CUELLO
fucs_list_programa_interes60;ESPECIALIZACIÓN EN CIRUGÍA DE LA MANO
fucs_list_programa_interes59;ESPECIALIZACIÓN EN CIRUGÍA DE LA RODILLA
fucs_list_programa_interes58;ESPECIALIZACIÓN EN CIRUGÍA DE MAMA Y TEJIDOS BLANDOS
fucs_list_programa_interes57;ESPECIALIZACIÓN EN CIRUGÍA ENDOSCÓPICA GINECOLÓGICA
fucs_list_programa_interes56;ESPECIALIZACIÓN EN CIRUGÍA GENERAL
fucs_list_programa_interes55;ESPECIALIZACIÓN EN CIRUGÍA MAXILOFACIAL
fucs_list_programa_interes345;ESPECIALIZACIÓN EN CIRUGÍA PEDIÁTRICA
fucs_list_programa_interes54;ESPECIALIZACIÓN EN CIRUGÍA PLÁSTICA RECONSTRUCTIVA Y ESTÉTICA
fucs_list_programa_interes53;ESPECIALIZACIÓN EN CIRUGÍA VASCULAR PERIFÉRICA
fucs_list_programa_interes52;ESPECIALIZACIÓN EN CUIDADO DE ENFERMERÍA EN URGENCIAS
fucs_list_programa_interes51;ESPECIALIZACIÓN EN DERMATOLOGÍA
fucs_list_programa_interes50;ESPECIALIZACIÓN EN DOCENCIA UNIVERSITARIA
fucs_list_programa_interes49;ESPECIALIZACIÓN EN ENDOCRINOLOGÍA
fucs_list_programa_interes495;ESPECIALIZACIÓN EN ENDOCRINOLOGÍA PEDIÁTRICA
fucs_list_programa_interes47;ESPECIALIZACIÓN EN ENFERMERÍA EN CUIDADO CRÍTICO DEL ADULTO
fucs_list_programa_interes46;ESPECIALIZACIÓN EN ENFERMERÍA EN CUIDADO INTENSIVO
fucs_list_programa_interes45;ESPECIALIZACIÓN EN ENFERMERÍA EN URGENCIAS
fucs_list_programa_interes44;ESPECIALIZACIÓN EN ENFERMERÍA GERONTOLÓGICA
fucs_list_programa_interes48;ESPECIALIZACIÓN EN ENFERMERÍA NEFROLÓGICA DEL ADULTO
fucs_list_programa_interes43;ESPECIALIZACIÓN EN ENFERMERÍA NEFROLÓGICA Y UROLÓGICA
fucs_list_programa_interes33;ESPECIALIZACIÓN EN ENFERMERÍA NEUROLOGÍA
fucs_list_programa_interes487;ESPECIALIZACIÓN EN ENFERMERÍA ONCOLÓGICA
fucs_list_programa_interes32;ESPECIALIZACIÓN EN EPIDEMIOLOGIA CLÍNICA
fucs_list_programa_interes484;ESPECIALIZACIÓN EN GASTROENTEROLOGÍA
fucs_list_programa_interes73;ESPECIALIZACIÓN EN GASTROENTEROLOGÍA Y ENDOSCOPIA DIGESTIVA
fucs_list_programa_interes475;ESPECIALIZACIÓN EN GENÉTICA MÉDICA
fucs_list_programa_interes31;ESPECIALIZACIÓN EN GERENCIA DE LA SALUD
fucs_list_programa_interes343;ESPECIALIZACIÓN EN GERENCIA DE LA SALUD (VIRTUAL)
fucs_list_programa_interes474;ESPECIALIZACIÓN EN GERENCIA DE ORGANIZACIONES DE SALUD
fucs_list_programa_interes496;ESPECIALIZACIÓN EN GERIATRÍA
fucs_list_programa_interes30;ESPECIALIZACIÓN EN GINECOLOGÍA ONCOLÓGICA
fucs_list_programa_interes29;ESPECIALIZACIÓN EN GINECOLOGÍA Y OBSTETRICIA
fucs_list_programa_interes28;ESPECIALIZACIÓN EN HEMATOLOGÍA
fucs_list_programa_interes72;ESPECIALIZACIÓN EN HEMODINAMIA Y CARDIOLOGÍA INTERVENCIONISTA
fucs_list_programa_interes27;ESPECIALIZACIÓN EN MASTOLOGIA
fucs_list_programa_interes344;ESPECIALIZACIÓN EN MEDICINA CRÍTICA Y CUIDADO INTENSIVO
fucs_list_programa_interes26;ESPECIALIZACIÓN EN MEDICINA CRÍTICA Y CUIDADO INTENSIVO (SUB ESPECIALIZACIÓN)
fucs_list_programa_interes25;ESPECIALIZACIÓN EN MEDICINA DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE
fucs_list_programa_interes24;ESPECIALIZACIÓN EN MEDICINA DE URGENCIAS
fucs_list_programa_interes23;ESPECIALIZACIÓN EN MEDICINA DEL DOLOR Y CUIDADOS PALIATIVOS
fucs_list_programa_interes22;ESPECIALIZACIÓN EN MEDICINA FAMILIAR
fucs_list_programa_interes71;ESPECIALIZACIÓN EN MEDICINA INTERNA
fucs_list_programa_interes21;ESPECIALIZACIÓN EN MEDICINA MATERNO FETAL
fucs_list_programa_interes74;ESPECIALIZACIÓN EN MEDICINA NUCLEAR
fucs_list_programa_interes20;ESPECIALIZACIÓN EN NEFROLOGÍA
fucs_list_programa_interes18;ESPECIALIZACIÓN EN NEONATOLOGÍA
fucs_list_programa_interes17;ESPECIALIZACIÓN EN NEUROCIRUGÍA
fucs_list_programa_interes16;ESPECIALIZACIÓN EN NEUROLOGÍA
fucs_list_programa_interes15;ESPECIALIZACIÓN EN OFTALMOLOGÍA
fucs_list_programa_interes70;ESPECIALIZACIÓN EN ORTOPEDIA Y TRAUMATOLOGÍA
fucs_list_programa_interes14;ESPECIALIZACIÓN EN ORTOPEDIA Y TRAUMATOLOGÍA PEDIÁTRICA
fucs_list_programa_interes13;ESPECIALIZACIÓN EN OTOLOGÍA Y OTOREUNOLOGÍA
fucs_list_programa_interes12;ESPECIALIZACIÓN EN OTORRINOLARINGOLOGÍA
fucs_list_programa_interes11;ESPECIALIZACIÓN EN OTORRINOLARINGOLOGÍA Y CIRUGÍA DE LA CABEZA
fucs_list_programa_interes10;ESPECIALIZACIÓN EN PATOLOGÍA
fucs_list_programa_interes69;ESPECIALIZACIÓN EN PEDIATRÍA
fucs_list_programa_interes485;ESPECIALIZACIÓN EN PERFUSIÓN Y CIRCULACIÓN EXTRACORPÓREA
fucs_list_programa_interes472;ESPECIALIZACIÓN EN PSICOONCOLOGÍA
fucs_list_programa_interes9;ESPECIALIZACIÓN EN RADIOLOGÍA E IMÁGENES DIAGNOSTICAS
fucs_list_programa_interes346;ESPECIALIZACIÓN EN REUMATOLOGÍA
fucs_list_programa_interes8;ESPECIALIZACIÓN EN TOXICOLOGÍA CLÍNICA
fucs_list_programa_interes68;ESPECIALIZACIÓN EN UROLOGÍA
fucs_list_programa_interes396;ESPECIALIZACIÓN GERENCIA EN MERCADEO DE SERVICIOS DE SALUD (VIRTUAL)
fucs_list_programa_interes398;GERENCIA DE LA CALIDAD Y GESTIÓN CLÍNICA
fucs_list_programa_interes392;MAESTRÍA EN BIOINGENIERÍA Y NANOTECNOLOGÍA
fucs_list_programa_interes395;MAESTRÍA EN EDUCACIÓN Y DESARROLLO SOCIAL
fucs_list_programa_interes393;MAESTRÍA EN EPIDEMIOLOGÍA CLÍNICA
fucs_list_programa_interes397;MAESTRÍA EN FARMACOLOGÍA CLÍNICA