fucs_list_programa_interes83;Curso Premédico
fucs_list_programa_interes2;Pregrado Enfermería
fucs_list_programa_interes391;Pregrado Fisioterapia
fucs_list_programa_interes4;Pregrado Instrumentación Quirúrgica
fucs_list_programa_interes1;Pregrado Medicina
fucs_list_programa_interes349;Pregrado Profesional en Administración de Servicios De Salud
fucs_list_programa_interes3;Pregrado Psicología
fucs_list_programa_interes347;Técnico Profesional en Procesos Administrativos En Salud
fucs_list_programa_interes7;Tecnología En Atención Prehospitalaria
fucs_list_programa_interes6;Tecnología En Citohistología
fucs_list_programa_interes348;Tecnólogo en Gestión de Información en Salud
fucs_list_programa_interes67;Especialización en Anestesiología Cardiovascular
fucs_list_programa_interes66;Especialización en Anestesiología y Reanimación
fucs_list_programa_interes65;Especialización en Artroscopia y Cirugía De Rodilla
fucs_list_programa_interes64;Especialización en Cardiología
fucs_list_programa_interes63;Especialización en Cirugía Cardiovascular
fucs_list_programa_interes62;Especialización en Cirugía Craneofacial
fucs_list_programa_interes61;Especialización en Cirugía de Cabeza Y Cuello
fucs_list_programa_interes60;Especialización en Cirugía de La Mano
fucs_list_programa_interes59;Especialización en Cirugía de La Rodilla
fucs_list_programa_interes58;Especialización en Cirugía de Mama Y Tejidos Blandos
fucs_list_programa_interes57;Especialización en Cirugía Endoscópica Ginecológica
fucs_list_programa_interes56;Especialización en Cirugía General
fucs_list_programa_interes55;Especialización en Cirugía Maxilofacial
fucs_list_programa_interes345;Especialización en Cirugía Pediátrica
fucs_list_programa_interes54;Especialización en Cirugía Plástica Reconstructiva Y Estética
fucs_list_programa_interes53;Especialización en Cirugía Vascular Periférica
fucs_list_programa_interes52;Especialización en Cuidado De Enfermería en Urgencias
fucs_list_programa_interes51;Especialización en Dermatología
fucs_list_programa_interes50;Especialización en Docencia Universitaria
fucs_list_programa_interes49;Especialización en Endocrinología
fucs_list_programa_interes47;Especialización en Enfermería en Cuidado Critico Del Adulto
fucs_list_programa_interes46;Especialización en Enfermería en Cuidado Intensivo
fucs_list_programa_interes45;Especialización en Enfermería en Urgencias
fucs_list_programa_interes44;Especialización en Enfermería Gerontológica
fucs_list_programa_interes48;Especialización en Enfermería Nefrológica Del Adulto
fucs_list_programa_interes43;Especialización en Enfermería Nefrológica y Urológica
fucs_list_programa_interes33;Especialización en Enfermería Neurología
fucs_list_programa_interes32;Especialización en Epidemiologia Clínica
fucs_list_programa_interes73;Especialización en Gastroenterología y Endoscopia Digestiva
fucs_list_programa_interes31;Especialización en Gerencia de la Salud
fucs_list_programa_interes343;Especialización en Gerencia de La Salud (Virtual)
fucs_list_programa_interes30;Especialización en Ginecología Oncológica
fucs_list_programa_interes29;Especialización en Ginecología y Obstetricia
fucs_list_programa_interes28;Especialización en Hematología
fucs_list_programa_interes72;Especialización en Hemodinamia y Cardiología Intervencionista
fucs_list_programa_interes27;Especialización en Mastología
fucs_list_programa_interes344;Especialización en Medicina Critica Y Cuidado Intensivo
fucs_list_programa_interes26;Especialización en Medicina Critica y Cuidado Intensivo (Sub Especialización)
fucs_list_programa_interes25;Especialización en Medicina de la Actividad Física y del Deporte
fucs_list_programa_interes24;Especialización en Medicina de Urgencias
fucs_list_programa_interes23;Especialización en Medicina del Dolor y Cuidados Paliativos
fucs_list_programa_interes22;Especialización en Medicina Familiar
fucs_list_programa_interes71;Especialización en Medicina Interna
fucs_list_programa_interes21;Especialización en Medicina Materno Fetal
fucs_list_programa_interes74;Especialización en Medicina Nuclear
fucs_list_programa_interes20;Especialización en Nefrología
fucs_list_programa_interes18;Especialización en Neonatología
fucs_list_programa_interes17;Especialización en Neurocirugía
fucs_list_programa_interes16;Especialización en Neurología
fucs_list_programa_interes15;Especialización en Oftalmología
fucs_list_programa_interes70;Especialización en Ortopedia y Traumatología
fucs_list_programa_interes14;Especialización en Ortopedia y Traumatología Pediátrica
fucs_list_programa_interes13;Especialización en Otología y Otoreunología
fucs_list_programa_interes12;Especialización en Otorrinolaringología
fucs_list_programa_interes11;Especialización en Otorrinolaringología y Cirugía De La Cabeza
fucs_list_programa_interes10;Especialización en Patología
fucs_list_programa_interes69;Especialización en Pediatría
fucs_list_programa_interes472;Especialización en Psicooncología
fucs_list_programa_interes9;Especialización en Radiología e Imágenes Diagnosticas
fucs_list_programa_interes346;Especialización en Reumatología
fucs_list_programa_interes8;Especialización en Toxicología Clínica
fucs_list_programa_interes68;Especialización en Urología
fucs_list_programa_interes396;Especialización Gerencia en Mercadeo de Servicios de Salud (Virtual)
fucs_list_programa_interes398;Especialización en Gerencia de la Calidad Y Gestión Clínica
fucs_list_programa_interes392;Maestría en Bioingeniería Y Nanotecnología
fucs_list_programa_interes395;Maestría en Educación Y Desarrollo Social
fucs_list_programa_interes393;Maestría en Epidemiología Clínica
fucs_list_programa_interes397;Maestría en Farmacología Clínica